dt,order_ts,order_id,item_seq,customer_id,restaurant_id,agent_id,item_id,quantity,item_price,discount_pct,delivery_fee,delivery_time_mins,payment_mode,order_status,city
2025-01-21,2025-01-21 21:00:00,ORD-20250121-0001,1,C0155,R001,A006,M020,2,269.68,0,20,49,COD,Cancelled,Chennai
2025-01-21,2025-01-21 14:50:00,ORD-20250121-0002,2,C0043,R002,A014,M009,2,399.07,0,30,43,UPI,Delivered,Pune
2025-01-21,2025-01-21 22:17:00,ORD-20250121-0003,3,C0017,R001,A008,M002,3,116.89,5,49,56,Wallet,Delivered,mumbai
2025-01-21,2025-01-21 21:39:00,ORD-20250121-0004,4,C0080,R004,A005,M005,4,90.42,0,40,31,Wallet,Delivered,Kolkata
2025-01-21,2025-01-21 13:11:00,ORD-20250121-0005,5,C0046,R012,A014,M003,3, 373.58 ,5,20,41,Wallet,Out for Delivery,Mumbai
2025-01-21,2025-01-21 10:12:00,ORD-20250121-0006,6,C0079,R013,A012,M017,4,159.59,20,40,59,UPI,Delivered,Bangalore
2025-01-21,2025-01-21 22:02:00,ORD-20250121-0007,7,C0009,R020,A004,M011,4,410.51,15,20,41,Wallet,Delivered,Mumbai
2025-01-21,2025-01-21 10:21:00,ORD-20250121-0008,8,C0120,R016,A001,M020,1,263.13,0,0,66,Wallet,Delivered,mumbai
2025-01-21,2025-01-21 11:12:00,ORD-20250121-0009,9,C0193,R002,A002,M015,1,155.55,25,0,56,COD,Delivered,Bangalore
2025-01-21,2025-01-21 11:01:00,ORD-20250121-0010,10,C0065,R011,A013,M009,1,449.55,0,40,-68,Card,Delivered,Pune
2025-01-21,2025-01-21 13:26:00,ORD-20250121-0011,11,C0014,R005,A005,M008,2,147.96,0,20,36,Wallet,Delivered,Pune
2025-01-21,2025-01-21 22:05:00,ORD-20250121-0012,12,C0037,R001,A012,M019,4,375.2,0,20,58,Card,Delivered,Chennai
2025-01-21,2025-01-21 11:14:00,ORD-20250121-0013,13,C0034,R016,A008,M014,3,₹346.47,0,30,75,Card,Delivered,DELHI
2025-01-21,2025-01-21 15:07:00,ORD-20250121-0014,14,C0098,R002,A010,M005,1,198.28,0,20,66,Net Banking,Delivered,Pune
2025-01-21,2025-01-21 21:38:00,ORD-20250121-0015,15,C0138,R014,A007,M009,4,126.95,0,49,48,Net Banking,Delivered,Pune
2025-01-21,2025-01-21 10:32:00,ORD-20250121-0016,16,C0192,R008,A009,M015,1, 441.39 ,10,49,69,UPI,Delivered,Kolkata
2025-01-21,2025-01-21 14:02:00,ORD-20250121-0017,17,C0013,R013,A013,M019,2,225.42,5,30,29,Card,Delivered,DELHI
2025-01-21,2025-01-21 16:17:00,ORD-20250121-0018,18,C0115,R002,A004,M017,4,197.87,0,20,19,COD,Delivered,mumbai
2025-01-21,2025-01-21 20:47:00,ORD-20250121-0019,19,C0038,R001,,M012,2,₹361.7,0,0,50,COD,Cancelled,Pune
2025-01-21,2025-01-21 21:45:00,ORD-20250121-0020,20,C0104,R015,A010,M008,1,81.24,0,0,31,UPI,Delivered,Mumbai
2025-01-21,2025-01-21 19:54:00,ORD-20250121-0021,21,C0024,R013,A011,M019,2,383.55,25,49,58,Wallet,Delivered,mumbai
2025-01-21,2025-01-21 21:45:00,ORD-20250121-0022,22,C0159,R002,A013,M013,3,191.07,20,40,31,UPI,Delivered,Mumbai
2025-01-21,2025-01-21 10:58:00,ORD-20250121-0023,23,C0153,R019,A004,M017,2,240.79,5,40,20,Wallet,Delivered,Delhi
2025-01-21,2025-01-21 15:05:00,ORD-20250121-0024,24,C0170,R020,A012,M018,3,202.0,10,20,16,Card,Delivered,Mumbai
2025-01-21,2025-01-21 11:23:00,ORD-20250121-0025,25,C0053,R011,A007,M008,1,245.2,10,30,52,Card,Delivered,Kolkata
2025-01-21,2025-01-21 16:28:00,ORD-20250121-0026,26,C0038,R002,A003,M004,3,406.06,0,49,24,COD,Delivered,DELHI
2025-01-21,2025-01-21 17:38:00,ORD-20250121-0027,27,C0197,R010,A015,M001,4,132.07,0,40,31,COD,Delivered,mumbai
2025-01-21,2025-01-21 13:50:00,ORD-20250121-0028,28,C0092,R007,A015,M014,2, 207.44 ,0,20,54,Wallet,Delivered,Bangalore
2025-01-21,2025-01-21 18:44:00,ORD-20250121-0029,29,C0085,R004,A007,M018,1,312.49,15,49,16,Net Banking,Delivered,Delhi
2025-01-21,2025-01-21 10:03:00,ORD-20250121-0030,30,C0119,R020,A005,M006,4,₹231.11,0,49,30,Net Banking,Delivered,Delhi
2025-01-21,2025-01-21 10:05:00,ORD-20250121-0031,31,C0186,R006,A003,M007,4, 105.4 ,10,49,60,Net Banking,Out for Delivery,Kolkata
2025-01-21,2025-01-21 16:48:00,ORD-20250121-0032,32,C0084,R008,A012,M009,1,439.14,0,40,41,Card,Delivered,Kolkata
2025-01-21,2025-01-21 23:01:00,ORD-20250121-0033,33,C0028,R020,A001,M003,3,264.71,5,30,46,Card,Delivered,Hyderabad
2025-01-21,2025-01-21 15:35:00,ORD-20250121-0034,34,C0108,R003,A009,M016,2,140.38,0,40,57,Net Banking,Out for Delivery,mumbai
2025-01-21,2025-01-21 10:32:00,ORD-20250121-0035,35,C0101,R014,A013,M013,4,432.5,0,49,71,Net Banking,Cancelled,DELHI
2025-01-21,2025-01-21 17:32:00,ORD-20250121-0036,36,C0070,R020,A014,M010,1,325.08,15,0,17,UPI,Delivered,DELHI
2025-01-21,2025-01-21 14:32:00,ORD-20250121-0037,37,C0145,R016,A003,M010,2,195.89,0,30,61,Net Banking,Out for Delivery,DELHI
2025-01-21,2025-01-21 12:07:00,ORD-20250121-0038,38,C0039,R003,A007,M011,3,303.7,10,49,65,Net Banking,Delivered,Pune
2025-01-21,2025-01-21 22:18:00,ORD-20250121-0039,39,C0165,R003,A012,M004,4,366.42,0,40,-30,Net Banking,Delivered,Hyderabad
2025-01-21,2025-01-21 14:14:00,ORD-20250121-0040,40,C0087,R019,A014,M010,2,347.89,20,49,16,Net Banking,Delivered,Pune
2025-01-21,2025-01-21 23:49:00,ORD-20250121-0041,41,C0005,R012,A001,M004,2,113.71,5,30,20,COD,Delivered,Hyderabad
2025-01-21,2025-01-21 23:01:00,ORD-20250121-0042,42,C0031,R013,A012,M002,4,81.55,0,49,39,UPI,Delivered,Hyderabad
2025-01-21,2025-01-21 12:03:00,ORD-20250121-0043,43,C0179,R007,A009,M004,1, 109.67 ,0,20,34,Net Banking,Delivered,Delhi
2025-01-21,2025-01-21 13:06:00,ORD-20250121-0044,44,C0193,R016,A008,M004,4,96.87,20,20,63,Card,Delivered,Mumbai
2025-01-21,2025-01-21 21:32:00,ORD-20250121-0045,45,C0067,R004,A014,M019,4,383.95,0,0,19,Net Banking,Delivered,Chennai
2025-01-21,2025-01-21 13:21:00,ORD-20250121-0046,46,C0136,R006,A015,M004,2,286.5,0,40,23,Wallet,Delivered,Mumbai
2025-01-21,2025-01-21 21:14:00,ORD-20250121-0047,47,C0120,R004,A001,M014,1,368.3,0,20,58,Wallet,Delivered,Kolkata
2025-01-21,2025-01-21 14:30:00,ORD-20250121-0048,48,C0126,R004,A006,M018,2,94.92,0,0,26,Wallet,Delivered,Mumbai
2025-01-21,2025-01-21 20:46:00,ORD-20250121-0049,49,C0184,R018,A008,M012,1,85.45,10,20,66,COD,Delivered,Kolkata
2025-01-21,2025-01-21 12:10:00,ORD-20250121-0050,50,C0032,R013,A007,M019,4,284.05,25,0,39,Card,Delivered,Delhi
2025-01-21,2025-01-21 16:39:00,ORD-20250121-0051,51,C0177,R004,A015,M008,3,337.88,0,30,18,Net Banking,Delivered,Pune
2025-01-21,2025-01-21 23:09:00,ORD-20250121-0052,52,C0100,R003,A001,M001,2,₹153.12,10,20,33,UPI,Delivered,DELHI
2025-01-21,2025-01-21 23:14:00,ORD-20250121-0053,53,C0148,R005,A005,M010,1,₹161.54,0,40,53,UPI,Delivered,Mumbai
2025-01-21,2025-01-21 15:54:00,ORD-20250121-0054,54,C0059,R002,A015,M005,1,219.51,20,30,40,COD,Delivered,Hyderabad
2025-01-21,2025-01-21 12:03:00,ORD-20250121-0043,43,C0179,R007,A009,M004,1, 109.67 ,0,20,34,Net Banking,Delivered,Delhi
2025-01-21,2025-01-21 14:14:00,ORD-20250121-0040,40,C0087,R019,A014,M010,2,347.89,20,49,16,Net Banking,Delivered,Pune
2025-01-21,2025-01-21 14:14:00,ORD-20250121-0040,40,C0087,R019,A014,M010,2,347.89,20,49,16,Net Banking,Delivered,Pune
